"id";"name";"species";"assay_type";"unit";"description";"created_at";"updated_at"
"1";"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)";"Human";"MSD";"pg/ml";"";"";""
"2";"R-PLEX BAFF-R";"Human";"MSD";"pg/ml";"";"";""
"3";"R-PLEX Calprotectin";"Human";"MSD";"pg/ml";"";"";""
"4";"R-PLEX IL-6R";"Human";"MSD";"pg/ml";"";"";""
"5";"R-PLEX PD-L2";"Human";"MSD";"pg/ml";"";"";""
"6";"R-PLEX PD1";"Human";"MSD";"pg/ml";"";"";""
"7";"U-PLEX BDNF";"Human";"MSD";"pg/ml";"";"";""
"8";"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)";"Human";"MSD";"pg/ml";"";"";""
"9";"V-PLEX Chemokine P1";"Human";"MSD";"pg/ml";"";"";""
"10";"V-PLEX CRP";"Human";"MSD";"pg/ml";"";"";""
"11";"V-PLEX Cytokine P1";"Human";"MSD";"pg/ml";"";"";""
"12";"V-PLEX LBP";"Human";"MSD";"ng/ml";"";"";""
"13";"V-PLEX Proinfammatory P1";"Human";"MSD";"pg/ml";"";"";""
"14";"V-PLEX Th17 P1";"Human";"MSD";"pg/ml";"";"";""
"15";"V-PLEX Vascular Injury P2";"Human";"MSD";"pg/ml";"";"";""
"16";"ELISA ApoE";"Human";"ELISA";"μg/ml";"";"";""
"17";"ELISA B2M";"Human";"ELISA";"mg/L";"";"";""
"18";"ELISA BAFF";"Human";"ELISA";"pg/ml";"";"";""
"19";"ELISA CD14";"Human";"ELISA";"pg/ml";"";"";""
"20";"ELISA HLA-E";"Human";"ELISA";"pg/ml";"";"";""
"21";"ELISA IFABP";"Human";"ELISA";"pg/ml";"";"";""
"22";"ELISA LPS";"Human";"ELISA";"ng/ml";"";"";""
"23";"ELISA S100B";"Human";"ELISA";"ng/ml";"";"";""
"24";"ELISA Zonulin";"Human";"ELISA";"ng/ml";"";"";""
"25";"V-PLEX Proinfammatory P1 Mouse";"Mouse";"MSD";"pg/ml";"";"";""
"26";"S-PLEX IL-1b";"Human";"MSD";"fg/ml";"";"";""
