"analyte";"std_analyte"
"ApoE";"ApoE"
"B2M";"B2M"
"BAFF";"BAFF"
"BAFF-R";"BAFF_R"
"BDNF";"BDNF"
"CRP";"CRP"
"Calprotectin";"Calprotectin"
"Eotaxin";"Eotaxin"
"Eotaxin-3";"Eotaxin_3"
"GM-CSF";"GM_CSF"
"HLA-E";"HLA_E"
"ICAM-1";"ICAM_1"
"IFABP";"IFABP"
"IFN-γ";"IFN_gamma"
"IL-10";"IL_10"
"IL-12/IL-23p40";"IL_12_IL_23p40"
"IL-12p70";"IL_12p70"
"IL-13 ";"IL_13"
"IL-15";"IL_15"
"IL-16";"IL_16"
"IL-17A";"IL_17A"
"IL-17A Gen. B";"IL_17A_GenB"
"IL-1α";"IL_1alpha"
"IL-1β";"IL_1beta"
"IL-2";"IL_2"
"IL-21";"IL_21"
"IL-22";"IL_22"
"IL-23";"IL_23"
"IL-27";"IL_27"
"IL-31";"IL_31"
"IL-4";"IL_4"
"IL-5";"IL_5"
"IL-6";"IL_6"
"IL-7";"IL_7"
"IL-8";"IL_8"
"IL-8(HA)";"IL_8_HA"
"IP-10";"IP_10"
"LBP";"LBP"
"LPS";"LPS"
"MCP-1";"MCP_1"
"MCP-4";"MCP_4"
"MDC";"MDC"
"MIP-1α";"MIP_1alpha"
"MIP-1β";"MIP_1beta"
"MIP-3α";"MIP_3alpha"
"PD-L2";"PD_L2"
"PD1";"PD1"
"S100B";"S100B"
"SAA";"SAA"
"TARC";"TARC"
"TNF-α";"TNF_alpha"
"TNF-β";"TNF_beta"
"VCAM-1";"VCAM_1"
"VEGF";"VEGF"
"Zonulin";"Zonulin"
"ApoE";"ApoE"
"B2M";"B2M"
"BAFF";"BAFF"
"BAFF-R";"BAFF-R"
"BDNF";"BDNF"
"CRP";"CRP"
"Calprotectin";"Calprotectin"
"Eotaxin";"Eotaxin"
"Eotaxin-3";"Eotaxin_3"
"GM-CSF";"GM_CSF"
"HLA-E";"HLA_E"
"ICAM-1";"ICAM_1"
"IFN-g";"IFN_gamma"
"IL-10";"IL_10"
"IL-12/IL-23p40";"IL_12_IL_23p40"
"IL-12p70";"IL_12p70"
"IL-13 ";"IL_13"
"IL-15";"IL_15"
"IL-16";"IL_16"
"IL-17A";"IL_17A"
"IL-17A Gen. B";"IL_17A_GenB"
"IL-1a";"IL_1alpha"
"IL-1b";"IL_1beta"
"IL-2";"IL_2"
"IL-21";"IL_21"
"IL-22";"IL_22"
"IL-23";"IL_23"
"IL-27";"IL_27"
"IL-31";"IL_31"
"IL-4";"IL_4"
"IL-5";"IL_5"
"IL-6";"IL_6"
"IL-7";"IL_7"
"IL-8";"IL_8"
"IL-8(HA)";"IL_8_HA"
"IP-10";"IP_10"
"MCP-1";"MCP_1"
"MCP-4";"MCP_4"
"MDC";"MDC"
"MIP-1a";"MIP_1alpha"
"MIP-1b";"MIP_1beta"
"MIP-3a";"MIP_3alpha"
"PD-L2";"PD_L2"
"PD1";"PD1"
"SAA";"SAA"
"TARC";"TARC"
"TNF-a";"TNF_alpha"
"TNF-b";"TNF_beta"
"VCAM-1";"VCAM_1"
"VEGF";"VEGF"
"CCL11";"Eotaxin"
"CCL26";"Eotaxin_3"
"CXCL10";"IP_10"
"CCL2";"MCP_1"
"CCL13";"MCP_4"
"CCL22";"MDC"
"CCL3";"MIP_1alpha"
"CCL4";"MIP_1beta"
"CCL20";"MIP_3alpha"
