"assay_name";"analyte_name";"spot";"opt_analyte_name"
"V-PLEX Cytokine P1";"GM-CSF";"1";"GM_CSF__CytoP1"
"V-PLEX Cytokine P1";"IL-1a";"2";"IL_1alpha__CytoP1"
"V-PLEX Cytokine P1";"IL-5";"3";"IL_5__CytoP1"
"V-PLEX Cytokine P1";"IL-7";"4";"IL_7__CytoP1"
"V-PLEX Cytokine P1";"IL-12/23p40";"5";"IL_12_IL_23p40__CytoP1"
"V-PLEX Cytokine P1";"IL-15";"6";"IL_15__CytoP1"
"V-PLEX Cytokine P1";"IL-16";"7";"IL_16__CytoP1"
"V-PLEX Cytokine P1";"IL-17A";"8";"IL_17A__CytoP1"
"V-PLEX Cytokine P1";"TNF-b";"9";"TNF_beta__CytoP1"
"V-PLEX Cytokine P1";"VEGF";"10";"VEGF__CytoP1"
"V-PLEX Proinfammatory P1";"IFN-g";"1";"IFN_gamma__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-1b";"2";"IL_1beta__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-2";"3";"IL_2__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-4";"4";"IL_4__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-6";"5";"IL_6__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-8";"6";"IL_8__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-10";"7";"IL_10__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-12p70";"8";"IL_12p70__ProinfP1"
"V-PLEX Proinfammatory P1";"IL-13";"9";"IL_13__ProinfP1"
"V-PLEX Proinfammatory P1";"TNF-a";"10";"TNF_alpha__ProinfP1"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)";"IP-10";"1";"IP_10__MetaG1"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)";"IL-1RA";"3";"IL_1RA__MetaG1"
"U-PLEX Metabolic G1 (IP-10, IL-1RA, and BDNF)";"BDNF";"10";"BDNF__MetaG1"
"R-PLEX IL-6R";"IL-6R";"1";"IL_6R__Rplex"
"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)";"TNF-RI";"1";"TNF_RI__RplexDupli"
"Dupli-R-PLEX TNF-Rs (TNF-RI and TNF-RII)";"TNF-RII";"10";"TNF_RII__RplexDupli"
"R-PLEX Calprotectin";"Calprotectin";"1";"Calprotectin__Rplex"
"V-PLEX CRP";"CRP";"1";"CRP__Vplex"
"V-PLEX LBP";"LBP";"1";"LBP__Vplex"
"V-PLEX Vascular Injury P2";"SAA";"1";"SAA__VasInjP2"
"V-PLEX Vascular Injury P2";"CRP";"2";"CRP__VasInjP2"
"V-PLEX Vascular Injury P2";"VCAM-1";"3";"VCAM_1__VasInjP2"
"V-PLEX Vascular Injury P2";"ICAM-1";"4";"ICAM_1__VasInjP2"
"V-PLEX Chemokine P1";"Eotaxin";"1";"Eotaxin__ChemoP1"
"V-PLEX Chemokine P1";"MIP-1b";"2";"MIP_1beta__ChemoP1"
"V-PLEX Chemokine P1";"Eotaxin-3";"3";"Eotaxin_3__ChemoP1"
"V-PLEX Chemokine P1";"TARC";"4";"TARC__ChemoP1"
"V-PLEX Chemokine P1";"IP-10";"5";"IP_10__ChemoP1"
"V-PLEX Chemokine P1";"MIP-1a";"6";"MIP_1alpha__ChemoP1"
"V-PLEX Chemokine P1";"IL-8(HA)";"7";"IL_8_HA__ChemoP1"
"V-PLEX Chemokine P1";"MCP-1";"8";"MCP_1__ChemoP1"
"V-PLEX Chemokine P1";"MDC";"9";"MDC__ChemoP1"
"V-PLEX Chemokine P1";"MCP-4";"10";"MCP_4__ChemoP1"
"V-PLEX Th17 P1";"IL-17A Gen. B";"1";"IL_17A_GenB__Th17P1"
"V-PLEX Th17 P1";"IL-21";"4";"IL_21__Th17P1"
"V-PLEX Th17 P1";"IL-31";"5";"IL_31__Th17P1"
"V-PLEX Th17 P1";"IL-27";"6";"IL_27__Th17P1"
"V-PLEX Th17 P1";"IL-23";"7";"IL_23__Th17P1"
"V-PLEX Th17 P1";"IL-22";"8";"IL_22__Th17P1"
"V-PLEX Th17 P1";"MIP-3a";"10";"MIP_3alpha"
"R-PLEX BAFF-R";"BAFF-R";"1";"BAFF_R__Rplex"
"R-PLEX PD-L2";"PD-L2";"1";"PD_L2__Rplex"
"R-PLEX PD1";"PD1";"1";"PD1__Rplex"
"U-PLEX BDNF";"BDNF";"1";"BDNF_Single"
"S-PLEX IL-1b";"IL-1b";"1";"IL_1beta__Splex"
"ELISA ApoE";"ApoE";"1";"ApoE__ELISA"
"ELISA B2M";"B2M";"1";"B2M__ELISA"
"ELISA BAFF";"BAFF";"1";"BAFF__ELISA"
"ELISA CD14";"CD14";"1";"CD14__ELISA"
"ELISA HLA-E";"HLA-E";"1";"HLA_E__ELISA"
"ELISA IFABP";"IFABP";"1";"IFABP__ELISA"
"ELISA LPS";"LPS";"1";"LPS__ELISA"
"ELISA S100B";"S100B";"1";"S100B__ELISA"
"ELISA Zonulin";"Zonulin";"1";"Zonulin__ELISA"
"V-PLEX Proinfammatory P1 Mouse";"IFN-g";"1";"IFN_gamma__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-1b";"2";"IL_1beta__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-2";"3";"IL_2__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-4";"4";"IL_4__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-5";"5";"IL_5__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-6";"6";"IL_6__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"KC/GRO";"7";"KC_GRO__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-10";"8";"IL_10__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"IL-12p70";"9";"IL_12p70__ProinfP1Mo"
"V-PLEX Proinfammatory P1 Mouse";"TNF-a";"10";"TNF_alpha__ProinfP1Mo"
